13,13,7,11,14,13,10,9,12,11,0,8,11,4,6,16,13,9,17,17,20,16,7,9,14,22,19,16,4,20,3,9,19,14,10,11,7,20,22,23,25,20,15,16,7,10,5,16,13,16,12,9,11,11,8,19,8,17,20,19,17,15,12,11,14,16,12,8,9,9,20,16,17,17,20,10,15,23,6,22,16,13,27,24,23,20,9,18,6,6,15,21,23,20,23,25,24,22,19,10
11,8,10,6,8,6,3,7,11,5,8,0,13,8,5,9,7,4,12,11,14,11,5,11,10,17,15,13,4,14,9,7,14,10,14,8,6,15,16,18,19,14,8,10,9,15,8,17,17,19,17,14,13,16,14,19,10,16,20,19,16,14,13,10,18,16,14,9,13,12,19,14,19,18,18,10,11,19,11,21,18,16,22,21,19,17,9,13,11,11,17,22,22,20,20,22,19,17,16,12
9,12,11,12,15,16,16,17,6,15,11,13,0,13,15,18,19,13,15,17,23,20,13,4,20,21,15,12,11,22,10,13,16,12,4,10,10,19,22,24,26,24,19,21,7,6,10,14,10,14,11,8,10,13,11,19,5,18,22,22,21,21,19,19,16,20,17,6,15,17,23,21,18,20,21,15,20,23,6,19,19,17,27,26,26,24,13,21,12,7,17,19,22,19,23,26,24,26,24,10
14,14,6,12,15,14,9,7,15,12,4,8,13,0,5,16,11,10,18,17,19,14,5,12,12,22,20,18,6,20,4,8,20,16,13,13,10,20,22,22,24,19,15,15,8,13,5,16,14,15,13,10,11,10,8,17,10,15,18,17,14,12,9,8,13,13,10,12,7,5,18,13,16,15,19,7,12,22,9,22,14,10,25,22,21,17,8,16,5,8,13,20,22,18,22,23,22,20,17,9
15,13,9,11,13,11,6,5,15,9,6,5,15,5,0,13,8,8,16,15,17,12,5,13,10,21,20,18,5,17,7,8,19,15,15,12,9,19,20,21,22,16,12,12,10,16,7,18,17,18,17,14,13,14,12,19,12,16,20,18,15,13,10,8,16,14,12,12,10,8,19,13,18,17,20,8,11,22,11,23,16,14,24,22,20,17,9,15,8,11,16,22,23,20,22,23,21,18,16,12
11,7,15,6,4,4,9,12,13,7,16,9,18,16,13,0,8,9,7,4,7,9,12,15,11,11,11,11,12,6,16,11,9,9,20,10,13,8,8,12,12,10,4,7,14,21,14,18,21,23,23,19,17,22,21,20,16,17,21,20,18,18,18,15,22,19,19,14,19,18,19,15,22,21,17,14,12,15,18,20,22,21,18,19,17,17,13,11,17,18,22,23,20,21,17,20,14,14,15,16
14,11,12,9,10,8,5,6,16,9,13,7,19,11,8,8,0,9,13,10,10,6,7,16,4,15,16,17,10,11,13,8,16,14,20,13,13,13,14,14,16,9,5,5,13,21,11,18,20,21,21,18,16,18,17,18,15,15,18,16,14,12,12,8,19,14,14,15,14,12,16,10,19,16,16,9,7,17,17,21,17,17,18,17,15,13,9,9,13,16,18,22,20,20,17,19,15,12,11,14
11,7,12,7,7,6,6,10,10,3,9,4,13,10,8,9,9,0,12,11,15,13,8,12,13,18,15,12,5,14,10,10,13,9,13,6,5,15,16,19,20,17,9,12,10,16,10,19,18,21,19,15,15,18,15,21,11,19,23,22,19,18,16,14,20,19,17,8,16,15,22,17,22,21,21,13,14,21,11,23,21,19,25,24,22,21,12,16,13,12,20,24,24,22,22,25,21,20,19,14
7,6,15,6,6,9,13,16,10,10,17,12,15,18,16,7,13,12,0,4,11,11,14,13,15,9,4,7,14,9,16,12,4,6,18,10,13,6,8,12,13,14,10,12,13,19,14,15,18,21,21,17,15,21,20,18,14,16,19,20,19,19,19,18,21,20,20,13,20,20,19,17,20,21,16,16,15,13,17,16,21,21,18,19,18,19,13,13,18,17,21,20,18,19,15,19,13,16,17,15
10,7,15,6,6,7,11,14,13,10,17,11,17,17,15,4,10,11,4,0,7,9,13,15,12,8,8,10,14,6,17,11,7,8,19,11,14,4,6,9,10,10,7,8,14,21,14,16,20,21,23,18,16,21,21,18,15,16,19,19,18,18,18,16,21,19,19,15,20,19,17,15,20,20,15,14,12,12,18,17,21,21,16,17,15,17,12,10,18,18,21,21,18,19,14,17,11,13,15,15
16,13,18,11,11,10,13,14,19,13,20,14,23,19,17,7,10,15,11,7,0,7,15,20,10,9,13,16,17,4,20,13,13,15,25,17,18,8,6,7,7,5,7,5,18,26,18,20,24,25,27,23,20,24,24,19,20,17,19,18,17,17,18,16,23,19,20,20,21,20,16,14,22,20,15,16,11,12,23,19,22,22,13,15,12,14,15,8,20,23,22,23,19,21,14,16,9,9,12,19
